"NOMBRE DE LA SERIE",DEPC200540_TSPA.T,DEPC200540_EI25_TSPA.T,DEPC200540_E16A19_TSPA.T,DEPC200540_E20A24_TSPA.T,DEPC200540_E25A54_TSPA.T,DEPC200540_ES55_TSPA.T,DEPC200540_SH_TSPA.T,DEPC200540_SH_EI25_TSPA.T,DEPC200540_SH_E16A19_TSPA.T,DEPC200540_SH_E20A24_TSPA.T,DEPC200540_SH_E25A54_TSPA.T,DEPC200540_SH_ES55_TSPA.T,DEPC200540_SM_TSPA.T,DEPC200540_SM_EI25_TSPA.T,DEPC200540_SM_E16A19_TSPA.T,DEPC200540_SM_E20A24_TSPA.T,DEPC200540_SM_E25A54_TSPA.T,DEPC200540_SM_ES55_TSPA.T
"NÚMERO SECUENCIAL",2357793,2546018,2357789,2357788,2357787,2357791,2357786,2546019,2357782,2357781,2357780,2357784,2357779,2546020,2357775,2357774,2357773,2357777
"ALIAS DE LA SERIE","BE_24_12.1","BE_24_12.2","BE_24_12.3","BE_24_12.4","BE_24_12.5","BE_24_12.6","BE_24_12.7","BE_24_12.8","BE_24_12.9","BE_24_12.10","BE_24_12.11","BE_24_12.12","BE_24_12.13","BE_24_12.14","BE_24_12.15","BE_24_12.16","BE_24_12.17","BE_24_12.18"
"DESCRIPCIÓN DE LA SERIE","Estadísticas generales. EPA. Tasa de paro","Estadísticas generales. EPA. Tasa de paro. Ambos sexos. Menores de 25 años. Total","Estadísticas generales. EPA. Tasa de paro. Ambos sexos. De 16 a 19 años","Estadísticas generales. EPA. Tasa de paro. Ambos sexos. De 20 a 24 años","Estadísticas generales. EPA. Tasa de paro. Ambos sexos. De 25 a 54 años","Estadísticas generales. EPA. Tasa de paro. Ambos sexos. De 55 y más años","Estadísticas generales. EPA. Tasa de paro. Hombres. Total","Estadísticas generales. EPA. Tasa de paro.Hombres. Menores de 25 años. Total","Estadísticas generales. EPA. Tasa de paro. Hombres. De 16 a 19 años","Estadísticas generales. EPA. Tasa de paro. Hombres. De 20 a 24 años","Estadísticas generales. EPA. Tasa de paro. Hombres. De 25 a 54 años","Estadísticas generales. EPA. Tasa de paro. Hombres. De 55 y más años","Estadísticas generales. EPA. Tasa de paro. Mujeres. Total","Estadísticas generales. EPA. Tasa de paro. Mujeres. Menores de 25 años. Total","Estadísticas generales. EPA. Tasa de paro. Mujeres. De 16 a 19 años","Estadísticas generales. EPA. Tasa de paro. Mujeres. De 20 a 24 años","Estadísticas generales. EPA. Tasa de paro. Mujeres. De 25 a 54 años","Estadísticas generales. EPA. Tasa de paro. Mujeres. De 55 y más años"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 2002",11.550000,22.08,28.42,20.42,10.34,7.00,8.36,18.37,24.09,16.73,7.08,6.00,16.35,27.02,35.22,25.12,15.08,9.36
"JUN 2002",11.150000,21.50,29.48,19.49,9.97,6.76,7.86,16.82,24.09,14.75,6.75,5.60,16.04,27.67,38.45,25.37,14.61,9.44
"SEP 2002",11.490000,22.05,30.06,19.89,10.22,7.11,8.33,18.67,26.53,16.21,6.98,5.89,16.20,26.52,36.30,24.40,14.91,9.98
"DIC 2002",11.610000,23.16,31.55,21.03,10.30,7.01,8.65,20.15,26.76,18.18,7.21,6.04,16.00,27.15,40.22,24.52,14.70,9.29
"MAR 2003",11.990000,23.40,33.85,20.85,10.83,6.75,8.76,20.15,29.06,17.69,7.40,6.00,16.73,27.70,41.98,24.80,15.68,8.46
"JUN 2003",11.280000,22.28,34.13,19.26,10.13,6.54,8.27,19.16,29.41,16.20,6.99,5.52,15.68,26.42,42.13,23.08,14.56,8.83
"SEP 2003",11.300000,22.19,31.49,19.76,10.02,7.29,8.39,19.08,26.22,17.00,7.01,6.19,15.54,26.30,40.03,23.21,14.26,9.74
"DIC 2003",11.370000,22.93,32.07,20.66,10.19,6.61,8.58,19.61,27.52,17.41,7.35,5.60,15.41,27.35,39.71,24.76,14.14,8.84
"MAR 2004",11.500000,22.65,32.45,20.30,10.42,6.74,8.68,19.39,27.69,17.21,7.52,5.76,15.55,26.97,40.06,24.23,14.42,8.83
"JUN 2004",11.090000,22.46,32.16,20.11,9.88,7.14,8.33,19.44,27.49,17.24,7.03,5.97,15.03,26.39,39.89,23.64,13.79,9.63
"SEP 2004",10.740000,21.63,29.28,19.57,9.52,6.99,8.20,18.43,26.71,15.84,6.99,5.76,14.36,25.86,33.95,24.14,12.99,9.58
"DIC 2004",10.530000,21.27,29.04,19.31,9.44,6.79,7.83,17.72,24.40,15.81,6.63,6.25,14.35,25.99,36.92,23.70,13.25,7.93
"MAR 2005",10.170000,21.70,31.21,19.23,8.89,6.64,7.84,18.55,26.70,16.09,6.58,5.62,13.46,25.87,39.35,23.10,12.05,8.70
"JUN 2005",9.320000,20.29,31.07,17.27,7.99,6.68,7.41,17.37,26.26,14.67,6.12,6.15,12.00,23.98,38.10,20.42,10.53,7.75
"SEP 2005",8.410000,18.01,26.88,15.40,7.30,5.28,6.56,14.98,22.04,12.69,5.53,4.81,11.04,21.87,34.27,18.69,9.74,6.21
"DIC 2005",8.710000,18.62,27.83,16.17,7.65,5.61,6.73,16.03,23.47,13.91,5.62,5.17,11.47,21.93,34.23,18.97,10.40,6.48
"MAR 2006",9.030000,18.71,29.68,15.85,8.05,5.90,6.86,16.73,25.66,14.23,5.71,5.31,12.03,21.17,35.38,17.80,11.19,7.05
"JUN 2006",8.440000,18.20,31.22,14.54,7.43,5.40,6.38,15.33,25.22,12.46,5.37,4.76,11.28,21.70,38.96,17.04,10.17,6.64
"SEP 2006",8.080000,16.90,24.87,14.46,7.12,5.32,6.05,13.89,19.80,11.88,5.15,4.38,10.91,20.73,32.66,17.56,9.77,7.19
"DIC 2006",8.260000,17.81,31.23,14.11,7.30,5.38,6.12,14.10,25.44,10.67,5.28,4.45,11.17,22.44,39.81,18.20,9.96,7.14
"MAR 2007",8.420000,17.72,27.59,15.02,7.48,5.91,6.34,14.07,21.99,11.67,5.55,4.66,11.23,22.43,36.39,19.12,10.02,8.20
"JUN 2007",7.930000,18.12,29.19,14.78,6.83,5.53,6.15,15.12,24.20,12.06,5.14,4.71,10.35,21.96,37.05,18.07,9.07,7.03
"SEP 2007",8.010000,17.87,27.21,14.91,6.90,5.52,6.25,15.19,22.93,12.53,5.24,4.58,10.39,21.19,33.28,17.72,9.09,7.29
"DIC 2007",8.570000,18.66,31.08,15.18,7.59,5.82,6.89,16.52,26.76,13.37,5.90,5.06,10.82,21.34,37.50,17.33,9.78,7.21
"MAR 2008",9.600000,21.08,32.82,17.75,8.53,6.41,7.90,19.33,28.50,16.49,6.80,5.34,11.88,23.30,39.31,19.27,10.76,8.34
"JUN 2008",10.360000,23.62,40.96,18.56,9.12,6.52,9.06,21.91,35.22,17.79,7.88,5.92,12.08,25.71,48.75,19.47,10.71,7.60
"SEP 2008",11.230000,24.18,38.34,19.80,10.02,6.84,10.29,23.67,35.53,19.80,9.11,6.09,12.48,24.80,42.17,19.81,11.19,8.20
"DIC 2008",13.790000,28.97,45.83,24.50,12.58,8.43,12.96,29.56,44.69,25.30,11.77,7.23,14.85,28.26,47.35,23.56,13.59,10.50
"MAR 2009",17.240000,35.54,54.25,30.63,15.94,10.43,16.85,36.22,52.73,31.48,15.63,9.55,17.76,34.71,56.43,29.62,16.32,11.90
"JUN 2009",17.770000,38.06,56.18,33.26,16.16,11.66,17.56,39.98,56.70,34.94,15.90,10.89,18.04,35.73,55.38,31.32,16.48,12.90
"SEP 2009",17.750000,38.57,53.52,34.54,16.00,11.59,17.62,39.36,53.12,35.24,16.00,10.92,17.91,37.63,54.08,33.74,15.99,12.66
"DIC 2009",18.660000,38.81,57.47,34.67,17.25,12.44,18.56,40.85,56.78,36.66,17.05,12.14,18.80,36.36,58.64,32.43,17.50,12.92
"MAR 2010",19.840000,40.73,59.54,36.31,18.48,13.13,19.80,43.25,58.92,39.03,18.32,12.90,19.90,37.75,60.48,33.27,18.68,13.51
"JUN 2010",19.890000,41.98,62.15,36.96,18.33,13.48,19.56,43.28,60.59,38.55,17.82,13.88,20.30,40.40,64.38,35.12,18.95,12.84
"SEP 2010",19.590000,40.56,59.99,35.95,18.06,13.60,19.12,41.44,58.95,36.84,17.47,13.92,20.18,39.56,61.42,34.97,18.78,13.09
"DIC 2010",20.110000,42.73,63.67,38.33,18.62,13.95,19.80,44.46,62.37,40.35,18.08,14.57,20.51,40.75,65.42,36.09,19.27,13.00
"MAR 2011",21.080000,45.30,65.30,41.14,19.65,13.88,20.60,47.38,64.08,43.49,18.98,13.93,21.66,42.93,67.02,38.59,20.44,13.81
"JUN 2011",20.640000,45.86,62.53,42.17,19.08,13.63,20.42,48.13,63.92,44.40,18.67,14.05,20.92,43.35,60.79,39.75,19.56,13.03
"SEP 2011",21.280000,45.58,60.38,42.00,19.70,14.36,20.90,47.01,61.47,43.16,19.19,14.56,21.75,43.97,58.92,40.76,20.31,14.07
"DIC 2011",22.560000,48.14,69.15,44.05,21.10,15.65,22.26,50.25,69.19,46.18,20.60,16.11,22.92,45.78,69.11,41.73,21.70,15.00
"MAR 2012",24.190000,51.67,71.44,47.71,22.71,16.67,23.96,53.78,71.05,50.08,22.33,17.03,24.46,49.35,71.94,45.15,23.15,16.17
"JUN 2012",24.400000,53.03,73.19,48.70,22.78,17.01,24.43,54.25,72.97,49.87,22.89,16.92,24.36,51.68,73.46,47.45,22.65,17.13
"SEP 2012",24.790000,52.01,71.89,47.68,23.25,17.22,24.54,52.74,71.28,48.43,22.97,17.26,25.10,51.18,72.69,46.85,23.58,17.17
"DIC 2012",25.770000,54.83,73.88,51.41,24.31,18.09,25.40,55.87,72.95,52.58,23.86,18.16,26.22,53.65,75.06,50.12,24.84,18.00
"MAR 2013",26.940000,56.92,75.63,53.39,25.30,19.78,26.66,59.08,75.26,55.57,24.88,19.64,27.26,54.46,76.18,51.02,25.79,19.97
"JUN 2013",26.060000,55.98,73.00,52.62,24.41,19.19,25.50,56.34,68.75,53.61,23.68,19.47,26.71,55.55,79.11,51.51,25.25,18.81
"SEP 2013",25.650000,54.14,72.15,50.14,23.98,19.05,25.19,53.96,70.69,50.09,23.43,19.52,26.18,54.35,73.93,50.20,24.61,18.42
"DIC 2013",25.730000,54.89,75.53,50.93,24.15,19.42,25.04,55.55,74.85,51.56,23.23,19.74,26.53,54.13,76.43,50.22,25.20,19.00
"MAR 2014",25.930000,55.49,70.16,52.86,24.39,19.76,25.37,56.04,68.25,53.66,23.60,20.30,26.57,54.86,72.72,51.96,25.29,19.05
"JUN 2014",24.470000,53.12,70.39,49.99,22.82,19.60,23.70,53.79,68.71,50.79,21.85,19.40,25.38,52.36,72.75,49.09,23.94,19.86
"SEP 2014",23.670000,52.39,66.71,49.54,21.89,18.83,22.53,52.33,62.91,50.16,20.44,19.04,25.01,52.46,71.38,48.83,23.55,18.54
"DIC 2014",23.700000,51.80,67.28,48.88,22.10,19.07,22.80,51.56,63.28,49.27,20.89,19.94,24.74,52.08,72.04,48.44,23.48,17.92
"MAR 2015",23.780000,51.36,70.45,47.74,22.42,18.41,22.74,52.56,68.93,49.25,20.96,18.81,24.98,49.96,72.46,46.02,24.09,17.87
"JUN 2015",22.370000,49.21,69.36,45.26,20.88,17.89,20.96,50.05,66.49,46.49,19.11,17.71,24.01,48.28,73.23,43.94,22.90,18.12
"SEP 2015",21.180000,46.58,63.73,42.89,19.48,17.78,19.90,46.65,61.51,43.11,17.99,17.20,22.69,46.49,66.77,42.65,21.21,18.53
"DIC 2015",20.900000,46.25,66.09,42.52,19.42,17.64,19.49,45.40,62.49,41.93,17.68,17.63,22.52,47.24,70.97,43.20,21.39,17.65
"MAR 2016",21.000000,46.50,64.12,43.26,19.67,17.26,19.45,45.67,66.16,41.53,17.77,17.12,22.78,47.49,61.24,45.23,21.82,17.42
"JUN 2016",20.000000,46.48,63.52,43.33,18.48,16.46,18.41,45.83,61.79,42.59,16.52,16.26,21.82,47.26,65.96,44.18,20.70,16.70
"SEP 2016",18.910000,41.94,54.69,39.27,17.50,15.98,17.39,41.95,53.45,39.35,15.65,15.53,20.66,41.94,56.30,39.18,19.60,16.53
"DIC 2016",18.630000,42.92,58.67,39.83,17.19,16.06,17.22,42.75,54.62,40.29,15.40,15.91,20.25,43.11,64.02,39.31,19.22,16.24
"MAR 2017",18.750000,41.66,58.74,38.37,17.56,15.56,17.22,42.58,56.78,39.46,15.47,15.64,20.51,40.55,61.77,37.15,19.91,15.46
"JUN 2017",17.220000,39.53,55.98,36.15,15.84,14.85,15.64,40.65,54.67,37.45,13.84,14.15,19.04,38.24,57.81,34.69,18.11,15.73
"SEP 2017",16.380000,35.97,50.41,32.69,15.02,14.27,14.80,37.44,51.87,33.84,12.99,13.38,18.21,34.22,48.34,31.37,17.33,15.40
"DIC 2017",16.550000,37.47,54.20,33.95,15.23,14.37,14.97,37.84,53.79,34.14,13.27,13.92,18.35,37.05,54.74,33.74,17.45,14.93
"MAR 2018",16.740000,36.34,56.15,32.37,15.58,14.78,15.18,37.97,56.61,34.05,13.62,13.68,18.54,34.37,55.55,30.40,17.79,16.16
"JUN 2018",15.280000,34.68,51.64,30.97,14.01,13.48,13.72,35.54,51.15,31.93,11.99,12.83,17.08,33.65,52.28,29.86,16.27,14.30
"SEP 2018",14.550000,33.00,45.43,30.10,13.39,12.13,13.12,34.02,45.39,31.24,11.61,11.06,16.22,31.78,45.49,28.75,15.41,13.47
"DIC 2018",14.450000,33.53,46.89,30.78,13.18,12.77,12.87,33.66,46.89,30.78,11.38,11.51,16.26,33.40,46.89,30.79,15.22,14.33
"MAR 2019",14.700000,34.97,49.26,32.00,13.48,12.57,12.90,33.09,43.60,30.78,11.51,11.58,16.74,37.13,56.57,33.38,15.70,13.80
"JUN 2019",14.020000,33.15,46.26,30.22,12.76,12.27,12.49,31.62,44.87,28.49,11.00,11.49,15.78,34.98,48.11,32.26,14.73,13.22
"SEP 2019",13.920000,31.67,42.15,29.28,12.72,11.79,12.17,29.95,40.97,27.32,10.78,10.66,15.92,33.78,43.70,31.62,14.90,13.18
"DIC 2019",13.780000,30.52,43.90,27.72,12.67,12.35,12.23,29.25,42.08,26.36,10.91,11.30,15.55,32.06,46.55,29.36,14.63,13.61
"MAR 2020",14.410000,32.99,47.29,30.12,13.39,12.09,12.79,32.62,45.53,29.62,11.52,10.76,16.24,33.47,50.28,30.72,15.46,13.68
"JUN 2020",15.330000,39.61,54.50,36.89,14.37,11.56,14.13,38.34,50.51,35.83,12.98,10.87,16.72,41.24,61.07,38.20,15.96,12.41
"SEP 2020",16.260000,40.45,55.93,37.18,15.12,12.07,14.39,38.68,51.28,35.67,12.98,11.03,18.39,42.61,63.17,38.93,17.51,13.34
"DIC 2020",16.130000,40.14,60.14,36.52,15.06,12.50,14.17,38.90,53.76,35.98,12.78,11.34,18.33,41.63,69.18,37.16,17.57,13.87
"MAR 2021",15.980000,39.53,58.23,36.52,14.90,12.70,14.07,38.18,55.98,35.04,12.65,11.62,18.13,41.18,61.50,38.27,17.38,13.95
"JUN 2021",15.260000,38.38,56.56,34.56,13.82,12.75,13.39,37.08,52.40,33.64,11.75,11.31,17.36,39.89,61.95,35.60,16.11,14.42
"SEP 2021",14.570000,31.15,42.82,28.38,13.13,13.91,12.97,31.05,44.13,27.96,11.45,11.96,16.36,31.26,41.32,28.86,14.98,16.21
"FUENTE","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística","Instituto Nacional de Estadística"
"NOTAS","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro","A partir del primer trimestre de 2001, datos calculados con la nueva definición de paro"
